title,price,location,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,garasi,carport,sertifikat,jumlah_lantai,url
"Rumah Hitung Tanah di Gedung Hijau Pondok Indah, 150 m ke Jalan Raya Utama,",9100000000,Jakarta Selatan Pondok Indah,250,438,5.0,5.0,2.0,0.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-hitung-tanah-di-gedung-hijau-pondok-indah-150-m-ke-jalan-raya-utama-hos17719844/
"Dijual Rumah Mewah - Townhouse Eksklusif Jl. Bangka, Jakarta Selatan",11500000000,Jakarta Selatan Bangka,304,600,6.0,5.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-selatan-bangka/dijual-rumah-mewah-townhouse-eksklusif-jl-bangka-jakarta-selatan-hos40884764/
Rumah Mewah dan Eksklusif 4 Lantai Ada Lift dan Ada Private Pool di Kemang Jakarta Selatan,12000000000,Jakarta Selatan Kemang,180,500,4.0,5.0,2.0,2.0,SHM,4,https://www.rumah123.com/properti/jakarta-selatan-kemang/rumah-mewah-dan-ekslusif-4-lantai-ada-lift-dan-ada-private-pool-di-kemang-jakarta-selatan-hos41044478/
Urgent Harus Terjual Rumah dengan Pool Lokasi Strategis Dekat Mall One Belpark Cilandak,6900000000,Jakarta Selatan Cilandak,335,320,4.0,3.0,1.0,2.0,SHM,1,https://www.rumah123.com/properti/jakarta-selatan-cilandak/urgent-harus-terjual-rumah-dengan-pool-lokasi-strategis-dekat-mall-one-belpark-cilandak-hos39633846/
"Dijual Rumah di Kebon Jeruk Jl Masjid Al Anwar, Dekat ke Jl Panjang - Palmerah, Bagus SHM",4690000000,Jakarta Barat Kebon Jeruk,141,300,5.0,5.0,3.0,1.0,SHM,4,https://www.rumah123.com/properti/jakarta-barat-kebon-jeruk/dijual-rumah-di-kebon-jeruk-jl-masjid-al-anwar-dekat-ke-jl-panjang-palmerah-bagus-shm-hos40732133/
"Dijual Rumah di Komplek Dpr Pribadi, Meruya, Rumah SHM Bagus di Komplek Dpr Ri, Jl. Meruya Selatan, Joglo, Kembangan, Kota Jakarta Barat, Dki Jakarta, Indonesia, 11640, Meruya",5090000000,Jakarta Barat Meruya,200,300,4.0,3.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-barat-meruya/dijual-rumah-di-komplek-dpr-pribadi-meruya-rumah-shm-bagus-di-komplek-dpr-ri-jl-meruya-selatan-joglo-kembangan-kota-hos40724262/
Jual Rumah Mewah Hoek 479M2 Anti Banjir di Kompleks Greenville,13500000000,Jakarta Barat Duri Kepa,479,430,5.0,3.0,2.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-barat-duri-kepa/jual-rumah-mewah-hoek-479m2-anti-banjir-di-kompleks-greenville-hos41153362/
Komp Perumahan Unilever Meruya Selatan Rumah,2980000000,Jakarta Barat Meruya,195,175,4.0,3.0,2.0,1.0,SHM,1,https://www.rumah123.com/properti/jakarta-barat-meruya/komp-perumahan-unilever-meruya-selatan-rumah-hos39610943/
House DIJUAL di PURI INDAH 160m²,7500000000,Jakarta Barat Puri Indah,160,350,3.0,3.0,0.0,0.0,SHM,3,https://www.rumah123.com/properti/jakarta-barat-puri-indah/house-dijual-di-puri-indah-160m-hos12713215/
Puri Indah Brand New Jarang Ada Dijual,3950000000,Jakarta Barat Puri Indah,82,190,3.0,3.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-barat-puri-indah/puri-indah-brand-new-jarang-ada-dijual-hos40850879/
